date,hotel_code,room_code,available,price,sampled,updated
2024-08-31,GLCC,DK1,11,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-08-31,GLCC,DK1A,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-08-31,GLCC,DK1R,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-08-31,GLCC,DQ2,4,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-08-31,GLCC,DQ2A,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-08-31,GLCC,SQ2,11,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-08-31,GLCC,SQ2A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-08-31,GLCC,XK1,1,479.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-08-31,GLCC,XK1A,1,479.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-08-31,GLCC,XQ2,0,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-08-31,GLCC,XQ2A,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-01,GLCC,DK1,11,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-01,GLCC,DK1A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-01,GLCC,DK1R,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-01,GLCC,DQ2,2,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-01,GLCC,DQ2A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-01,GLCC,SQ2,11,429.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-01,GLCC,SQ2A,1,429.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-01,GLCC,XK1,1,469.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-01,GLCC,XK1A,1,469.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-01,GLCC,XQ2,0,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-01,GLCC,XQ2A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-02,GLCC,DK1,11,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-02,GLCC,DK1A,1,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-02,GLCC,DK1R,1,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-02,GLCC,DQ2,1,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-02,GLCC,DQ2A,1,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-02,GLCC,SQ2,11,389.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-02,GLCC,SQ2A,1,389.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-02,GLCC,XK1,0,429.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-02,GLCC,XK1A,1,429.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-02,GLCC,XQ2,0,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-02,GLCC,XQ2A,1,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-03,GLCC,DK1,11,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-03,GLCC,DK1A,1,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-03,GLCC,DK1R,1,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-03,GLCC,DQ2,1,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-03,GLCC,DQ2A,1,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-03,GLCC,SQ2,11,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-03,GLCC,SQ2A,0,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-03,GLCC,XK1,0,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-03,GLCC,XK1A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-03,GLCC,XQ2,1,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-03,GLCC,XQ2A,1,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-04,GLCC,DK1,11,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-04,GLCC,DK1A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-04,GLCC,DK1R,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-04,GLCC,DQ2,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-04,GLCC,DQ2A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-04,GLCC,SQ2,11,429.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-04,GLCC,SQ2A,1,429.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-04,GLCC,XK1,0,469.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-04,GLCC,XK1A,1,469.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-04,GLCC,XQ2,0,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-04,GLCC,XQ2A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-05,GLCC,DK1,5,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-05,GLCC,DK1A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-05,GLCC,DK1R,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-05,GLCC,DQ2,0,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-05,GLCC,DQ2A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-05,GLCC,SQ2,7,429.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-05,GLCC,SQ2A,1,429.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-05,GLCC,XK1,0,469.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-05,GLCC,XK1A,1,469.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-05,GLCC,XQ2,0,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-05,GLCC,XQ2A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-06,GLCC,DK1,5,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-06,GLCC,DK1A,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-06,GLCC,DK1R,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-06,GLCC,DQ2,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-06,GLCC,DQ2A,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-06,GLCC,SQ2,10,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-06,GLCC,SQ2A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-06,GLCC,XK1,1,479.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-06,GLCC,XK1A,1,479.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-06,GLCC,XQ2,0,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-06,GLCC,XQ2A,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-07,GLCC,DK1,11,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-07,GLCC,DK1A,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-07,GLCC,DK1R,0,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-07,GLCC,DQ2,2,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-07,GLCC,DQ2A,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-07,GLCC,SQ2,11,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-07,GLCC,SQ2A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-07,GLCC,XK1,0,479.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-07,GLCC,XK1A,1,479.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-07,GLCC,XQ2,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-07,GLCC,XQ2A,1,449.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-08,GLCC,DK1,11,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-08,GLCC,DK1A,0,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-08,GLCC,DK1R,0,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-08,GLCC,DQ2,0,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-08,GLCC,DQ2A,1,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-08,GLCC,SQ2,11,389.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-08,GLCC,SQ2A,1,389.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-08,GLCC,XK1,1,429.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-08,GLCC,XK1A,1,429.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-08,GLCC,XQ2,0,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-08,GLCC,XQ2A,1,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-09,GLCC,DK1,11,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-09,GLCC,DK1A,0,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-09,GLCC,DK1R,0,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-09,GLCC,DQ2,0,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-09,GLCC,DQ2A,1,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-09,GLCC,SQ2,9,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-09,GLCC,SQ2A,1,399.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-09,GLCC,XK1,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-09,GLCC,XK1A,1,439.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-09,GLCC,XQ2,0,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-09-09,GLCC,XQ2A,1,409.99,2023-09-04 16:27:51.592488,2023-09-04 14:26:00
2024-08-31,GLLM,CD1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,CD2,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,CD2LA,0,217.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,CD2TL,0,283.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,CK1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,CK1LHA,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,CQ1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,CQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,DK1A,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,DQ1,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,DQ1A,0,514.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,DQ2,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,SB2XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,SD1XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,SD1XXA,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,SQ1,0,276.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,SQ1U,0,257.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-08-31,GLLM,XQ1,0,812.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,CD1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,CD2,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,CD2LA,0,217.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,CD2TL,0,283.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,CK1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,CK1LHA,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,CQ1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,CQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,DK1A,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,DQ1,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,DQ1A,0,514.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,DQ2,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,SB2XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,SD1XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,SD1XXA,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,SQ1,0,276.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,SQ1U,0,257.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,XQ1,0,812.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CD1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CD2,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CD2LA,0,217.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CD2TL,0,283.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CK1LH,3,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CK1LHA,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CQ1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,DK1A,1,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,DQ1,1,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,DQ1A,0,514.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,DQ2,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,SB2XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,SD1XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,SD1XXA,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,SQ1,0,276.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,SQ1U,0,257.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,XQ1,1,812.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CD1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CD2,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CD2LA,0,217.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CD2TL,0,283.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CK1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CK1LHA,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CQ1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,DK1A,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,DQ1,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,DQ1A,0,514.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,DQ2,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,SB2XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,SD1XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,SD1XXA,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,SQ1,0,276.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,SQ1U,0,257.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,XQ1,0,812.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CD1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CD2,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CD2LA,0,217.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CD2TL,0,283.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CK1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CK1LHA,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CQ1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,DK1A,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,DQ1,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,DQ1A,0,514.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,DQ2,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,SB2XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,SD1XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,SD1XXA,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,SQ1,0,276.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,SQ1U,0,257.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,XQ1,0,812.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CD1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CD2,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CD2LA,0,217.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CD2TL,0,283.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CK1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CK1LHA,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CQ1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
